,text,topic
0,This is my bag which is missing,bag
1,my flight was bag,bag
2,my flight was bad,service
3,flight,flight
4,my flight was cancelled,service
5,my flight was delayed,flight
6,lost my baggage,bag
7,your service is bad service service service service,service
8,my flight got delayed and i was stuck on the airport with a missing bag,bag
9,my flight was delayed and i was stuck on the airport,bag
10,your services suck,service
11,this is not a good flight to travel,flight
12,i emailed and messaged your staff e-mail message,service
13,this is pathetic,service
14,my experience with your bag handling is bad experience,service
15,i was waiting on the airport for over an hour,bag
16,this makes no sense why is my flight cancelled,service
17,please reply to my call reply reply,flight
18,there is no network available to call you visit network network,service
19,the food and bag was amazing,bag
