,text
0,@VirginAmerica everything was fine until you lost my bag telephone baggage bag bag table table baggage clothing internet bag call desk web_site
1,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy. solution message answer support hang on-line lost address hang web reservation class network
2,.@VirginAmerica does that mean you don't have a policy for destroyed luggage? baggage web bag bag bag clothing message table table telephone baggage apparel floor
3,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow? bag bag clothing telephone baggage table table baggage apparel floor web_site web internet"
4,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help. baggage bag bag web clothing bag table table telephone baggage customer apparel floor
5,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help clothing baggage bag apparel bag bag floor web table table telephone baggage internet
6,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff communication message error support reply aid class booking bag class network class service"
7,"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage. solution communication message answer support aid electronic_mail service reply reservation error support service"
8,@VirginAmerica Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag. bag bag telephone baggage clothing table table baggage web web_site apparel floor internet
9,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child bag bag baggage web clothing bag table table telephone baggage apparel floor internet"
10,@united then why have I not received my call back its been 3 days...it's an infant car seat how am I supposed to go anywhere with my child web bag bag clothing message baggage apparel floor customer table table telephone baggage
11,@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback error communication booking support reply aid service support service answer call service engagement
12,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service... baggage bag bag bag clothing table table telephone baggage web apparel floor internet
13,@United  My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome web clothing bag bag telephone baggage apparel floor table table baggage internet bag
14,@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope? baggage bag bag bag telephone baggage clothing table table web_site apparel floor internet
15,@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12 table desk table bag bag web clothing telephone baggage message baggage apparel floor
16,"@united I received 1 bag last night, I am still missing the other one. web message error communication telephone baggage bag bag clothing support reply aid class"
17,@united what time? Who can I call. I need my skis. I will go to the airport and get them. No more faith in United. clothing web bag bag visit apparel floor table table telephone baggage baggage web_site
18,@united So they didn't drop my bag overnight &amp; now I'm leaving for a week. This is why you were supposed to hold on to the bag.... bag bag clothing table table telephone baggage web baggage desk apparel floor internet
19,"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines web baggage bag bag reservation bag clothing apparel floor table table telephone baggage"
20,@united AND my luggage has been broken!! #youcouldntmakethis up #brokenwheel baggage talk talk speak bag bag bag call e-mail address call clothing table
21,@united did  bags make it on the flight out of iad? second day without clothes is pretty inconvenient. We're pretty curious #UnitedAirlines clothing apparel bag bag telephone baggage web floor table table baggage internet bag
22,@united did our bags leave Washington yet? That would be convenient seeing as we left there a day ago. #UnitedAirlines #lostluggage web clothing bag bag telephone baggage customer table table baggage apparel floor agent
23,@united about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere. clothing web bag bag telephone baggage error apparel floor table table baggage message
24,@united Thanks for remembering to load my bag onto my connecting flight. Oh wait you forgot. Iceland should be fun with no clothes.... clothing web aid communication apparel support support service reply bag bag service booking
25,@united how we looking on getting those bags to Lusaka telephone baggage bag bag clothing table table baggage web apparel floor internet bag
26,@united Could you update me on the suitcase please? The online and phone tracking told me nothing. I was told I'd have it back yesterday! message communication error class network class bag support reply aid class booking service
27,"@united ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back! message web bag class network class error communication customer solution cry answer class"
28,@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money.. aid support hang on-line lost address hang communication message support web support service
29,@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery? communication message web error support reply aid baggage bag class network class bag
30,@united okay ase24766m. Find our luggage. baggage bag bag bag table table telephone baggage clothing internet call desk web_site
31,@united But they are not... lady one phone says its in tel aviv. Tel Aviv united says its in Newark. No one knows and I have nothing... message web class network class bag error communication support solution cry answer class
32,"@united yes, but still now answers. Many have not had their luggage for 3 days! Unacceptable!! message solution answer baggage answer bag reservation bag bag web bag class network"
33,@united Lost bag process is broken. Agent promised they'd call &amp; hold my bag when found. Now they're waking me at 3am w/ delivery. #fail message web communication error class network class clothing support reply aid bag bag
34,@united that's unfortunate. The @Tumitravel was an xmas gift and it looks like a razor ripped right through the front pocket in the picture message solution answer communication class network class error reservation support reply aid staff
35,@united Yes. Doesn't make that mistake any less absurd. Doesn't change the fact that I'm very inconveniently missing my luggage tonight. class message avail class network class web error communication baggage bag bag bag
36,@united we needed them here asap. Will they make it on today's flight? message bag communication ticket error support reply aid booking class network class solution
37,"@united tag numbers 0016 964012, 0016 964077, 0016 964078 - let's find these bags. communication support reply aid booking service support service answer call error service engagement"
38,@united thanks for effing up our holidays - we're missing a full day of skiing due to your baggage team's incompetence at @FlyYOW aid message communication support class network class bag support service error staff reply
39,@united Connection at ORD was on the exact same plane again. Checked carry-on was apparently taken off &amp; left in Chicago. Pretty ridiculous. communication support aid booking reply service support service answer call service engagement services
40,@united Not encouraged that I'll have my CPAP tonight. message class support hang on-line lost address hang avail class network class error
41,@united Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery communication electronic_mail support reply aid error service support booking service answer call solution
42,"@united yes in Lusaka, Zambia. My guess is the bags never made the plane at IAD. reservation bag bag telephone baggage clothing web seat table table baggage apparel floor"
43,@united yes I filed a claim &amp; hope to receive by luggage by 2am. Ridiculous as I had to purchase items to go to sleep &amp; no reimbursement. message solution answer reservation password cry tag class network class chat class support
44,@united I received my luggage that also looked to be left in the snow when I arrived. I'm asking for all 50 people to be refunded. web baggage bag bag bag floor clothing support hang on-line lost address hang
45,@united can you tell me how to file a claim for clothing that had to be purchased? clothing talk talk speak apparel web solution answer message call e-mail address call
